user name;Recommended item (name);user ID;Recommended item (ID);score;path;readable path;explanation
user 196;Rumble in the Bronx;1;24;0.4801032216875667;[('self_loop', 'user', 1), (np.int64(25), 'entity', np.int64(377)), (np.int64(25), 'user', np.int64(504)), (np.int64(25), 'entity', np.int64(24))];user 196 --watched--> Heavyweights --watched--> Bonnie and Clyde --watched--> Rumble in the Bronx;Rumble in the Bronx is recommend to you because you watched Heavyweights also watched by user 507
user 196;When Harry Met Sally...;1;216;0.4811378759675878;[('self_loop', 'user', 1), (np.int64(25), 'entity', np.int64(916)), (np.int64(25), 'user', np.int64(838)), (np.int64(25), 'entity', np.int64(216))];user 196 --watched--> Lost in Space --watched--> In the Line of Duty 2 --watched--> When Harry Met Sally...;When Harry Met Sally... is recommend to you because you watched Lost in Space also watched by user 846
user 196;Brazil;1;175;0.48385410596242495;[('self_loop', 'user', 1), (np.int64(25), 'entity', np.int64(374)), (np.int64(25), 'user', np.int64(428)), (np.int64(25), 'entity', np.int64(175))];user 196 --watched--> Mighty Morphin Power Rangers: The Movie --watched--> Harold and Maude --watched--> Brazil;Brazil is recommend to you because you watched Mighty Morphin Power Rangers: The Movie also watched by user 435
user 196;Deconstructing Harry;1;345;0.4879978889660026;[('self_loop', 'user', 1), (np.int64(25), 'entity', np.int64(220)), (np.int64(25), 'user', np.int64(375)), (np.int64(25), 'entity', np.int64(345))];user 196 --watched--> Mirror Has Two Faces, The --watched--> Showgirls --watched--> Deconstructing Harry;Deconstructing Harry is recommend to you because you watched Mirror Has Two Faces, The also watched by user 379
user 196;Pillow Book, The;1;253;0.491864577473801;[('self_loop', 'user', 1), (np.int64(25), 'entity', np.int64(93)), (np.int64(25), 'user', np.int64(342)), (np.int64(25), 'entity', np.int64(253))];user 196 --watched--> Welcome to the Dollhouse --watched--> Man Who Knew Too Little, The --watched--> Pillow Book, The;Pillow Book, The is recommend to you because you watched Welcome to the Dollhouse also watched by user 345
user 196;Young Frankenstein;1;208;0.49567074032991093;[('self_loop', 'user', 1), (np.int64(25), 'entity', np.int64(809)), (np.int64(25), 'user', np.int64(876)), (np.int64(25), 'entity', np.int64(208))];user 196 --watched--> Rising Sun --watched--> Money Talks --watched--> Young Frankenstein;Young Frankenstein is recommend to you because you watched Rising Sun also watched by user 880
user 196;Cook the Thief His Wife & Her Lover, The;1;640;0.49741097725731936;[('self_loop', 'user', 1), (np.int64(25), 'entity', np.int64(731)), (np.int64(25), 'user', np.int64(331)), (np.int64(25), 'entity', np.int64(640))];user 196 --watched--> Corrina, Corrina --watched--> Edge, The --watched--> Cook the Thief His Wife & Her Lover, The;Cook the Thief His Wife & Her Lover, The is recommend to you because you watched Corrina, Corrina also watched by user 335
user 196;Ace Ventura: When Nature Calls;1;364;0.49845090390753605;[('self_loop', 'user', 1), (np.int64(25), 'entity', np.int64(426)), (np.int64(25), 'user', np.int64(659)), (np.int64(25), 'entity', np.int64(364))];user 196 --watched--> Transformers: The Movie, The --watched--> Arsenic and Old Lace --watched--> Ace Ventura: When Nature Calls;Ace Ventura: When Nature Calls is recommend to you because you watched Transformers: The Movie, The also watched by user 664
user 196;Star Wars;1;50;0.5002550601846154;[('self_loop', 'user', 1), (np.int64(25), 'entity', np.int64(505)), (np.int64(25), 'user', np.int64(883)), (np.int64(25), 'entity', np.int64(50))];user 196 --watched--> Dial M for Murder --watched--> Telling Lies in America --watched--> Star Wars;Star Wars is recommend to you because you watched Dial M for Murder also watched by user 884
user 196;Wedding Singer, The;1;354;0.5041522858155003;[('self_loop', 'user', 1), (np.int64(25), 'entity', np.int64(460)), (np.int64(25), 'user', np.int64(869)), (np.int64(25), 'entity', np.int64(354))];user 196 --watched--> Crossing Guard, The --watched--> Fools Rush In --watched--> Wedding Singer, The;Wedding Singer, The is recommend to you because you watched Crossing Guard, The also watched by user 871
user 186;My Best Friend's Wedding;2;255;0.4601468005226948;[('self_loop', 'user', 2), (np.int64(25), 'entity', np.int64(395)), (np.int64(25), 'user', np.int64(480)), (np.int64(25), 'entity', np.int64(255))];user 186 --watched--> Robin Hood: Men in Tights --watched--> North by Northwest --watched--> My Best Friend's Wedding;My Best Friend's Wedding is recommend to you because you watched Robin Hood: Men in Tights also watched by user 487
user 186;Laura;2;611;0.4608488254782428;[('self_loop', 'user', 2), (np.int64(25), 'entity', np.int64(469)), (np.int64(25), 'user', np.int64(252)), (np.int64(25), 'entity', np.int64(611))];user 186 --watched--> Short Cuts --watched--> Lost World: Jurassic Park, The --watched--> Laura;Laura is recommend to you because you watched Short Cuts also watched by user 106
user 186;Miami Rhapsody;2;700;0.4693958179361247;[('self_loop', 'user', 2), (np.int64(25), 'entity', np.int64(469)), (np.int64(25), 'user', np.int64(793)), (np.int64(25), 'entity', np.int64(700))];user 186 --watched--> Short Cuts --watched--> Crooklyn --watched--> Miami Rhapsody;Miami Rhapsody is recommend to you because you watched Short Cuts also watched by user 796
